instruction,input,output,text
"[語音訊息]
Nagano Mei
好不習慣用錄音噢哈哈
",,"真好聽哈哈
謝啦
我換手機了
現在前面的訊息都看不到
我記得我好像一直吵妳😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"？！！
終於換手機了
還好啦🥰
",,"iPhone 12耶好不習慣
我爸爸給我的畢業禮物
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"哇酷欸！！！
什麼顏色的啊
""是正常大小的嗎（？）
",,"白色的
對正常的
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"妳應該可以好好研究了😆
照相功能好像也有更多了：）
",,"對啊現在時間比較多哈哈
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"[貼圖]
[貼圖]
",,"[貼圖]
我決定要來看妳老公(山田涼介😂）的電影
現在我看日劇也看日本電影
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"哪一部啊？😮☺️
我現在還在看天國與地獄/
https://youtu.be/ajjN7eAnyZE
這個是我喜歡的歌手！！！因為KKBOX沒有所以一直忘了給妳聽><
""https://youtu.be/n6iJHhVwfdk
",,"記憶屋和解憂雜貨店
加油那個好看哈哈
耶耶謝啦
對欸就是這首❤️
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"記憶屋我還沒看過！！
[貼圖]
""我最近有認真運動 (運動)
",,"找時間看一下老公呀哈哈
洗腦惹昨天聽太多次😂
加油妳可以的6/16見❤️
啊對我發現一件事情就是其實流星沒有很高欸哈哈174
他看起來很高
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""最近很少看他…
""好的！！！
""對齁好像是這樣
最近真的有點無聊😂😂😂
",,"他有要轉型變成演員嗎
也是啦比例好就好
真的都只能關在家
欸妳看相機夜間功能好強喔
[照片]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""是不會轉型
""好漂亮噢！！！
光好清楚噢
",,"厲害啊👍
""因為我家在半山腰
對啊好神奇我之前小米畫質很差😅
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""耶🥰期待
我覺得用習慣可能會回不去其他手機了😂
",,"是啊今天就霧霧的不好看
真的真的
不過我這隻要用10年哈哈因為我自己沒錢😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"10年嗎😂不知道能不能撐那麼久(emoji)
",,"加油我相信它😂
唉好想念妳喔
妳是唯一會好好聽我講落落長的故事大聽眾
我媽每次都敷衍我🥺哭哭
好像跟妳當面說好喔
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"我也想妳😭🥰
下下禮拜…！
快可以見了
耶我是聽眾第一名🎉
""啊我看完天國與地獄了！！
音樂也很好聽🥰
我現在在看危險維納斯
才剛看到第三集吧
",,"❤️
希望疫情趕快緩和
頒獎給妳❤️
對吧超感人
對吼我也要看這部！
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""真的…
""高橋一生超厲害💜
之後可以看！！雖然我還沒看完
然後最近緯來剛演和菓子那部！
昨天晚上我有看到一點！
",,"真的⋯天佑台灣啊
對啊而且換回來的瞬間就感覺男生版日高回來了
哈這部我看3遍哈哈
[貼圖]
""啊對我跟妳說
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""現在6/16不能回去了吧😭😭😭
對！！
""？！！妳超能重複看欸
""哈哈哈還好他過程沒有演出來
",,"對啊很sad
哈哈哈不過我第三遍是只看後半段啦（畢竟我4月就看首次了
""對吧我跟他真有默契🐶
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"一直拿不到畢業證書
[貼圖]
",,"[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""我看完危險維納斯了！！！
""過程蠻曲折的
[貼圖]
",,"對啊我也看完了
剛剛
我也喜歡劇情但我一直猜錯兇手哈哈
大家心機都好重喔哈哈
啊不過我有猜到小楓可能以前的職業是刑警
因為她的講話方式和一些動作
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"好快！！
我也一直轉移猜測目標
我只覺得她應該有專業訓練過但沒猜到刑警！
",,"🐶🐶🐶我超厲害
妳看把你變成迪士尼
[照片]
很像耶
[照片]
剛剛看這部電影感動感動
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"之前有在網路上看過變成Disney 的照片！
""！！演員陣容！
",,"好看
""我最近好像一直看到兩位😂
流星的頭髮好長蓬蓬的好像狗狗🐶好想幫他剪頭髮
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"真的很長🥸
""我前幾天在看一部原創日劇
""我覺得還不錯
",,"好的加入我的清單
[貼圖]
[照片]
太晚拍了
之後再拍更漂亮的
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""哇好漂亮！！
[貼圖]
""啊對了
",,"終於等到了！妳看
[照片]
[照片]
6:45和6:58拍的！
以上是我媽媽拍的
這是我拍的
[照片]
""有欸我們電視有😄
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""好美！！！超像水彩
等等是早上嗎
還是傍晚🌆
""有關！
[照片]
我們家是醬😶
由下往上看的概念😉😂
[照片]
""還有昨天晚上拍的我的房間
""然後我想到我以前看過不錯的劇！
可能還有一些不錯的但我忘了 想到其他再跟妳說🥰
",,"對啊超漂亮
夕陽
太棒了❤️等等吃完飯來看
妳的相機也很好👍
好漂亮喔好想去妳家玩喔
""而且旁邊有娃娃跟大獎盃🏆
太好了又有好看的謝啦
謝謝妳
我發現我越來越喜歡日本了
以後我們一起去日本玩
穿漂亮和服
我前天看日本節目講到成年禮
她們穿和服超漂亮
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"之後可以群聚的時候…！！！！
""啊我還想說黑黑的看不到亂亂的東西😂
🥰
耶！！！
一定要！！👍🏻👍🏻👍🏻
對呀他們成年禮都會弄的漂漂亮亮💗💗
",,"🐶🐶🐶要去要去
好強
[貼圖]
我們也可以的哈哈
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"[貼圖]
[貼圖]
[照片]
我昨天坐車 太陽超大☀️
",,"[貼圖]
一定超熱😄不過天空很漂亮
藍天白雲🐶
話說我會住政大宿舍
但是如果疫情還是很嚴重的話就會通勤
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"對超熱❤️‍🔥
開始抽了嗎？
都還不能確定🥺🥺
",,"還沒
要等指考同學
不然他們沒地方住哈哈😄
是啊😭
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"對齁我忘了…😂
我現在正在看！！！！
[照片]
""我剛剛轉到第三集
",,"哈哈😆
👍👍👍
我已經只剩最後一集沒看了哈哈
忍不住想說：流星好帥😂
我完全入坑哈哈
而且我喜歡他這齣戲的人設
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"我看了一集就覺得他在這部真的蠻不錯的（？）！！
有種明亮的感覺
我看到他們在營火前面牽手😳🥰
[貼圖]
",,"耶擊掌✋
開朗的狗狗🐶
不過頭髮還是有點長😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"[貼圖]
哈哈哈我是覺得還好啦
""因為我之前正在看 校閱女王
",,"煮飯的時候帥炸了❤️
後面幾集開始有梳起來🐶喜歡
好喔太棒了我又有新的劇可看👍
我可能被我媽影響😂她一直嫌太長
我剛剛看一下照片又覺得好像還好🐶
話說我看完解憂雜貨店的電影
山田涼介暴怒的時候好帥唷
哈哈哈😄可能因為平常看不到
很會演戲👍
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""真的！！！
媽媽們好像偏好清爽髮型😂😂
""對啊😉
他有得某個新人獎：）
",,"哈哈😆真的會這樣
真的🐶
我同意😂
哇很厲害餒希望之後可以看到他有更多作品
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"最近好像還沒有新的🥺
""我進度緩慢因為我又同時跟我媽媽看韓劇 雖然是神經病但沒關係
我現在剛看到虎鯨社長出現那邊
",,"沒關係我們可以等😆
好的我找找看
沒關係慢慢來👍先預告我很喜歡結局❤️
""對了忘記和妳說
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"耐心等🧎🏻‍♂️
女主個性有點偏激啦可能觀眾喜好會比較分明 我是可以啦
耶我繼續看🥰🥰
""哈哈哈我都沒想到😂😂
""然後偷偷跟妳說我最近在練習畫眼影跟眼線哈哈哈
[貼圖]
https://leticiaschic.com/personal-color-analysis/
""我昨天找了一個類似的測試影片
""我覺得妳可能也有興趣所以分享一下
我先猜猜看妳是春天😂
啊這個只是參考用的☺️
",,"沒問題👌
""超好笑他全部的料理都有加海鮮
哇妳厲害欸👍我放棄學畫眼線因為我覺得太可怕會一直搓到眼睛哈哈
好喔來測測看
妳真貼心
喔對我覺得我選修科目有一科要選日文
打錯了是「決定」😂
妳的影響力強大讓我比以前更喜歡日本了❤️
我也覺得我比較像春天呢
不過測出來是冬天
但是我的確比較喜歡深色的衣服
最近我媽媽才幫我買了一些亮色的😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"妳最愛的☺️
只有畫眼尾的話就不用怕刺到眼睛了！
耶！！！！以後可以教你一點了哈哈哈
噢噢原來！
我是夏天欸
""春秋是屬於黃色基底
",,"❤️
妳學會再教我哈哈😄
太棒了老師老師
原來那我們算是同一系的人❤️❤️
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"好…！！
期待期待😚
""對了之前你有收到政大的暑期學分營的DM吧（我有
這樣之後就可以有更多時間修別的了☺️
""之後8月會密集上課
[貼圖]
""然後自己上網測的不會很準
http://personalcolor.kose.com.tw/
""只是我最近對這個有興趣所以跟妳一直講😂😂
""網路上有很多測驗
我昨天看完為愛裝扮了！！
結局真的很幸福☺️☺️☺️
然後番外篇的茅野x秋葉也很可愛🥰
",,"""哇妳厲害欸我倒是沒有報名
對啊很棒喔加油💪
妳真是可愛啊❤️
夏日少女
""真的好開心❤️大家都是好結果
有番外！我來去看看🐶🐶
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""原來
哇之後妳就是電腦大師了靠妳啦🥰🥰
""對…他人真的很好😭😭
""對了！！！
https://youtu.be/jZNbLmym60I
",,"嘿嘿沒有那麼厲害啦
也只能這樣了😂
真的啊我們是預言家
而且有土屋太鳳欸
之後來看👍👍
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"[貼圖]
如果電影院有的話希望可以去看🥺
",,"我也要去當跟屁蟲🐶
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""如果有上劇院然後可以去的話就一起去看！！！
""我看了好像3集的 我的女兒交不到男朋友
我不確定該不該推薦但我還是跟妳說一下我有看一些這樣😂
",,"沒問題👍
好優沒問題她真的很漂釀❤️
[貼圖]
[照片]
學日文囉
老師如果有不會可以問妳嗎哈哈
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"我也…🥺
哇事先開始了！！👍🏻👍🏻👍🏻
哈哈當然啊😉❤️
",,"日文50音是有意義的嗎？還是就是像注音符號那樣就是它們沒有意思只是發音
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""沒有意思的
",,"[貼圖]
謝啦
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"加油🥰🥰💪🏻
",,"明天緯來日本台晚上7:40會演爆笑監視中喔
妳有看過嗎
好像有春奈和流星喔
我一定準時收看哈哈😄
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""我沒有！！
我沒事的話也要看！！（弄一下提醒⏰🥰
耶謝謝妳提醒我❤️
",,"哈哈有些企劃真的滿好笑的
希望妳喜歡😘
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"我正在看☺️
",,"我也有看😊
不過好可惜感覺還沒演完就被切掉了
春奈說小混蛋的那個好可愛
還有流星說我不讓妳們走
然後她們就下車了好好笑
阿部先生也很好笑
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"有點短🥺
太晚按鈕了😭
之前我有看過網路上片段的流星的60秒見面！
第一個一直叫腿很長那個也很好笑😂
",,"真的喔我不知道欸
我想參加哈哈😄
真的
不過阿部先生真的腿好長😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"感覺我見到的話應該會激動到不能好好說話😂😂
長腿叔叔🧍‍♂️😂
以前看他的 羅馬浴場超喜歡的👍🏻
""我看完 我家女兒交不到男朋友 了！
有好笑有感人
",,"然後 一分鐘就過去了
我可以想像妳很激動的樣子😂
😊😊
恭喜妳喔我也應該去看的🐶🐶我也喜歡美波
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"對😂😂
我下一個應該會看和菓子的！！！！
(emoji)
",,"我大概會比妳冷靜一點吧哈哈😄
👍👍👍
[貼圖]
[照片]
被我抓到了喔按讚
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"哈哈剛好按進去第一個就是他☺️☺️
",,"[貼圖]
品淳問妳喔
請問有學長姐開始找妳嗎
就是新生群之類的
我們政大怎麼好像都沒有這種活動？
其他學校好像陸陸續續有
還是每個系也不同？
難到因為我是邊緣人嗎哈哈
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"我之前也有想問你這些欸哈哈哈但後來覺得好像沒關係
我也沒有！！！
其實之前升學資訊的line有傳過這個
""恭喜錄取學校的同學們~
""我那時候猶豫不確定要不要加
你覺得要加嗎🥺
(emoji)
",,"真有默契啊哈哈😄
這是？什麼時候的訊息
加一下好了
感覺以後很需要社交呢
可惜我不太會哈哈😄
等妳一起加
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"5/20😖超早的😂
好像真的會
(emoji)
那我加了噢🤭🤭
[照片]
[照片]
好像要傳證明給IG
",,"[貼圖]
啊還是是傳給個申的新生
繁星被排擠了😂😂
好謝謝妳告訴我
不然我就真的變成邊緣人了哈哈
話說我哥回來了
還有我的專輯哈哈😄
之後帶給妳看🐶🐶
[照片]
[照片]
[照片]
子瑜超漂亮
[照片]
[照片]
[照片]
[照片]
[照片]
[照片]
我不會用欸
要怎麼傳證明給IG?
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""是之前學校發的DM上的QR CODE
我覺得是傳圖片（證明）給IG聊天的那邊
""哇好棒噢！！
這張好美🥺🥺
""我傳訊息問IG帳號是不是傳證明給他了
",,"原來如此妳看得好仔細
個人9張+1張全員+5張隨機的
但我哥買兩張專輯給我😂
風格不同
真的❤️
謝謝妳
品淳啊
我明天又要回去一次😂
果然老師忘記拿獎座給我
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"真的啊😂😂
他有通知妳嗎
",,"對啊
剛剛打電話
他是說獎座下午才來
但我懷疑是他忘記發
話說
[照片]
是行充
可以放在中間充電欸
還好有換手機哈哈
小米可辦不到😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""對了！！
噢噢無線充電的！！
",,"好謝啦我去處理
還不錯👍
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""裡面好像不是很正經：0（好像啦我才剛加
",,"好的
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"[照片]
他會用你輸入的暱稱搜尋你 然後再讓你通過
",,"好謝啦
將來是資管系還什麼都不會哈哈😄
[照片]
鋼之煉金術士
是一部動漫翻拍成真人版
我爸在看
然後我突然發現男主角真眼熟哈哈😄
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"沒啦😂😂
""啊啊我知道！！
",,"好好笑
原來是符合角色設定😂
話說拿到了
但是我覺得長得好好笑
晚點拍照給妳看
[照片]
狗狗🐶我放的
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"他的形狀好特別😂
而且那個直角三角形的看起來像貼紙？？
哈哈狗狗可愛
肚肚
",,"對啊他說設計理念是書😅
是的
對啊我喜歡🐶🐶🐶
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""書…嗎😳
不過有獎杯還是很棒啦🥰🥰
""我剛剛忽然醒來耶
不知道等等會不會繼續睡XD
結果我睡到快10點🤯🤯😂
",,"我也這麼覺得😂沒有看那張設計理念的說明的話根本看不出來
[貼圖]
對欸好早起床
沒關係啦睡飽很重要
畢竟妳可是無尾熊🐨耶
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"真的看不出來😂
可以睡20小時噢🐨🐨🐨
我昨天看完和菓子的了！！
真的很曲折🤣但好看！！
",,"[貼圖]
是吧
流星好帥🐶不過我比較喜歡他穿現代服裝
美波超漂亮❤️和服都很精緻
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"兩種造型感覺很不同
",,"喔對忘記給妳說
我早就幫這對曲折的命運二人組想好對策
一開始好好結婚不就解決了嗎😂
因為這樣兩個人就都是光月庵的老闆啦
這樣就不用分開了
畢竟他們是真愛嘛
所以我一開始一直覺得七櫻為什麼要堅持之後就再也不跟阿椿見面
趕快結婚就好啦😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"那時候他們還不知道對方是誰？？
""而且是不是傳統上當家只能一個人（？）
可能七櫻發現自己真實血緣吧
真的😢
",,"不是
是七櫻和阿椿要比賽的那時候
這樣要找出兇手也比較容易
對！我覺得他們都太堅持
七櫻說不希望阿椿被光月庵的招牌給束縛
既然如此何不兩個人一起改變它呢
""也是
我們兩個好認真討論😂😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""對…！
我忘了那時候七櫻知不知道栞其實沒有懷孕？
""哈哈看的當下沒想那麼多
",,"真是不知變通欸哈哈
有已經知道了
我還記得是男二（忘了名字）跟栞去店裡找了七櫻跟她說事實
然後七櫻和多喜川先生講話之後她才跑出去找阿椿
[貼圖]
好想見妳喔
[貼圖]
[照片]
都離婚了還是很難忘😂
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"原來🤭
太複雜我都沒搞清楚順序😂😂
Me too😳😳😳❤️
""哈哈哈好笑耶
（我也不喜歡椰子👍🏻
""我也有看一些桌球混
",,"不會啦因為我看3遍😂
🐶🐶🐶❤️❤️❤️
耶一樣一樣
我真的覺得打桌球的很強
我實在是沒辦法覺得桌球有趣而且我也打不好
我覺得它不好玩就是因為我不會打😂
看選手打就覺得他們好猛(猛男)
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""哎呦妳其實也沒有打不好呀
哈哈跟我覺得籃球一樣😂😂
真的！！
我現在在看戴資穎
",,"吼妳人真好哈哈😄
但妳明明打得很好姿勢超專業
對啊恭喜球后晉級😊
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""實話啦
謝謝😂只有姿勢還可哈哈
""對！
雖然很可惜但真的超精彩
",,"嘿嘿😁謝啦
不會啦妳很棒❤️
真的欸我覺得他很棒了連續兩場都打到第七局真的超累
現在希望小戴奪金🏅️
給妳看我哥哥買給他女朋友的狗狗超可愛
他買了兩張
不過他下學期交換回台師大所以他現在在家
是兩隻😂
[照片]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""超可惜…！
""欸欸好可愛！！
所以下學期就可以住家裡了吧
一隻給妳嗎☺️
後面那是鐘嗎好可愛😂😂
還有snoopy趴在那
""啊我今天第一次上線上英文課！
",,"""真的她其實已經很累了
對啊超可愛
哎這倒不是🥺因為他女朋友說要兩隻他們一人一隻
他說等他之後有錢再買給我
妳看得真仔細😂那是畢業的圖案因為我媽叫我能畢業證書拍照所以後面有裝飾
🐶🐶🐶❤️❤️❤️
好酷喔！是同時現上啊😁
線上（哈我最近一直打錯字
不要害羞啦妳那麼強
恭喜妳先遇到同學囉😊
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"原來…🤭
為了拍照特意放的噢😂👍🏻
我有積極回答😳😂
""有一個課是全程開鏡頭的 一個不用
",,"真是的沒先買給我🥺
對啊而且我穿制服
妳好棒👍很乖
不會啦我沒看過妳做怪表情欸（這麼一說好想看😂
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"女朋友優先😢😢
我都沒什麼拍照哈哈哈
拿到畢冊畢業證書那些的那天是有拍一兩張啦
耶🐶🐶❤️
""我覺得蠻有趣的
以後可能有機會看到🤫🤫🤫
""對了！！
",,"就留個紀念吧
一定比Peter講得好
哈哈期待😄
對啊好帥我有看到❤️好喜歡
但是我不喜歡他留鬍子
比較喜歡書生那樣的感覺
[照片]
[照片]
好想叫他們原地結婚哈哈🥰
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"Ummm Peter是屬於講閱讀寫作類的老師🥸🥸
不希望🤣
同意！！！
太可愛…
""對了我有加到一個政大新生群
",,"他比較適合做研究🧐
希望希望希望🐶
耶一拍即合🥰
是所有人的嗎
對跟妳說我們資管系群組有傳這個可以查學好的
明明8/16才能查
是資管學生已經先駭入了嗎哈哈😄
https://moltke.nccu.edu.tw/newstuqryno_SSO/index.jsp
要🐶謝謝忘記跟妳說
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"噢對這個最適合
(emoji)
""欸我同學也有傳給我！
謝啦🥰
就是各系新生
而且好像會傳一些資訊
",,"原來🐶他們動作真快
好👌
太好了這樣就不會錯過謝啦
跟妳說我又是23號誒
超有緣是幸運數字🐶
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"我是4號
然後系是102😂
""提醒大家，今年新生開放查詢學號的時間是9/3，開放時間（9/3-9/11）記得到新生資料維護網填個人資料，可以先拿到500點的選課點數噢
https://moltke.nccu.edu.tw/newstuinfo_SSO/index.jsp?logintpe=oldstu
""下方是昨天選課介紹的影片連結，提供給學弟妹們觀看！(happy cat)
這是前幾天比較重要的資訊
我還沒細看😂
太剛好了吧
",,"好的謝謝妳喔
真的
系碼是306
我寫了一個網站
總共1450條程式碼😂
跟妳分享
https://jenny-first-web-about-magic-world.surge.sh/
電腦版記得用游標滑滑看
手機版則是按按看圖片之類的
我設計了一些變化喔
[貼圖]
話說太久沒寫文章功力退步⋯
簡介跟人物介紹好難寫燒破我的腦袋瓜哈哈
[貼圖]
品淳我要寄東西給妳
可以告訴我妳家地址嗎
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"？！！
""我先用手機看
""我看完了手機版的！！！
我有看到圖片邊框變色跟黑白變彩色！
我覺得寫得很好欸☺️☺️☺️👍🏻
是真的蠻久沒寫東西了😂
要給我卡片噢😳😳😳
台北市大安區仁愛路三段143巷25號2樓
""然後我剛好上個月看了哈利波特3、4、5、6集😂
",,"這是小case了之後會更多的😂
耶開心😃那邊弄好久😆
耶被認可了🐶
是啊❤️
電影嗎？
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"哇加油！！！！
一定很辛苦
這是一階段的成品然後之後還會有新的成品嗎
🥺Thank u😭
對呀
其實我好像沒看過小說
",,"以後應該都會要好幾千行
這個就這樣囉
之後會再學再做別的
昨天寄囉大概最近會到吧
好看呦👍
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"天啊期待之後的作品!!!
耶好期待收到!(moon pleading)
一定好看!但我太少看書了:(
有機會想看
[影片]
這個是我們第一個成品
配音的
讓我想到我們的比賽
[貼圖]
",,"哈哈😆我會加油好好學習
沒關係啦想看的時候再看😂
妳是女主角嗎？
我昨天整理檔案時才又看一次那個欸😂怎麼那麼巧
太久沒聽到妳的聲音😂
是嗎
[照片]
我有參加這個喔
看看別人怎麼弄
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
"""我問一下 妳寄給我的東西是不是用i郵箱？
""我一開始還想說我沒有訂東西啊
""但我不知道你知不知道他會不會送到I郵箱
""我等等應該就會去拿
加油！！
我是那個金頭髮的😂
真巧😳😳
我也🥺
""噢噢！我有看到
""哈哈跟妳說我收到了！
",,"啊哈本來想說給妳驚喜😂所以沒跟妳說有一個小禮物🎁
🐶🐶🐶沒關係符合妳的個性哈哈
喔有啦有啦
那個What
非常妳的口氣
我就是考慮這兩個人😂但又覺得女主不太像因為聲音有點軟軟的感覺
妳的聲音比較堅定
但妳是不是為了配合角色有調整音調
所以我聽不太出來是妳😂
太優秀了超讚
很像原配
妳就是那個人說話的感覺超強
我的聲音還是不適合配英文啊😂太小孩子的感覺
😊😊😊
[貼圖]
",Below is an instruction that describes a task. Write a response that appropriately completes the request.
